movie_id,genre_name
19875,Documentary
19875,Short
19923,Documentary
19923,Short
19980,Comedy
19980,Romance
19991,Short
20014,Action
20014,Animation
20014,Sci-Fi
20016,Documentary
20066,Action
20066,Short
20091,Comedy
20091,Drama
20091,Music
20148,Comedy
20148,Drama
20148,Music
20159,Comedy
20159,Drama
20159,Romance
20184,Drama
20282,Comedy
20300,Documentary
20334,Comedy
20366,Action
20373,Action
20432,Action
20448,Drama
20448,Short
20448,Thriller
20459,Animation
20459,Sci-Fi
20482,Action
20482,Animation
20500,Action
20500,Drama
20507,Comedy
20516,Action
20516,Adventure
20516,Animation
20516,War
20518,Action
20518,Adventure
20518,Animation
20518,War
20523,Action
20523,Adventure
20523,Animation
20523,War
20543,Documentary
20584,Documentary
20591,Drama
20607,Short
20618,Documentary
20668,Animation
20668,Fantasy
20668,Short
20684,Comedy
20684,Romance
20727,Drama
20827,Short
20902,Animation
20902,Comedy
20902,Short
20916,Comedy
20934,Documentary
20966,Action
20968,Documentary
21002,Drama
21002,Romance
21002,Short
21011,Documentary
21011,Short
21016,Comedy
21016,Short
21034,Documentary
21041,Documentary
21041,Short
21052,Documentary
21052,Short
21075,Horror
21118,Family
21118,Fantasy
21120,Drama
21161,Documentary
21177,Comedy
21177,Short
21184,Animation
21193,Short
21211,Horror
21243,Short
21304,Documentary
21354,Comedy
21354,Drama
21377,Documentary
21395,Documentary
21395,Short
21454,Documentary
21479,Comedy
21479,Short
21493,Comedy
21495,Short
21502,Drama
21529,Comedy
21529,Musical
21529,Short
21593,Action
21654,Short
21679,Documentary
21686,Action
21688,Action
21738,Drama
21752,Action
21752,Comedy
21752,Drama
21752,Romance
21763,Thriller
21772,Fantasy
21779,Drama
21779,Short
21802,Horror
21802,Thriller
21829,Drama
21870,Comedy
21870,Drama
21904,Documentary
21904,Short
21911,Adult
21997,Action
21997,Comedy
22006,Documentary
22006,Short
22020,Comedy
22061,Action
22063,Documentary
22120,Comedy
22122,Comedy
22122,Drama
22188,Action
22206,Drama
22590,Action
22590,Family
22604,Documentary
22622,Crime
22622,Drama
22629,Drama
22640,Action
22640,Animation
22640,Sci-Fi
22654,Short
22665,Comedy
22665,Sci-Fi
22665,Thriller
22681,Comedy
22681,Family
22688,Adventure
22688,Comedy
22688,Family
22688,Fantasy
22699,Drama
22699,Short
22704,Drama
22713,Documentary
22722,Drama
22722,Horror
22729,Drama
22729,Horror
22824,Drama
22849,Drama
22849,Romance
22881,Documentary
22897,Documentary
22897,Short
23042,Horror
23058,Drama
23058,Fantasy
23065,Comedy
23065,Short
23067,Comedy
23067,Documentary
23072,Action
23072,Adventure
23072,Animation
23083,Documentary
23142,Comedy
23142,Drama
23190,Comedy
23256,Sci-Fi
23276,Documentary
23317,Thriller
23374,Animation
23374,Short
23376,Drama
23376,Short
23392,Drama
23399,Horror
23415,Comedy
23415,Crime
23415,Romance
23424,Short
23442,Comedy
23442,Short
23449,Comedy
23458,Animation
23458,Short
23501,Horror
23533,Comedy
23533,Drama
23599,Documentary
23626,Comedy
23660,Short
23676,Drama
23676,Short
23692,Short
23883,Comedy
23917,Documentary
23917,Music
23919,Comedy
23919,Music
23933,Comedy
23933,Music
23944,Comedy
23944,Short
23951,Short
23953,Drama
23953,Short
23960,Comedy
23960,Short
23983,Documentary
23994,Romance
24008,Documentary
24026,Short
24069,Documentary
24201,Musical
24201,Short
24235,Animation
24235,Family
24235,Short
24244,Comedy
24244,Short
24267,Short
24310,Documentary
24317,Short
24367,Short
24376,Documentary
24378,Short
24385,Crime
24387,Drama
24394,Documentary
24419,Documentary
24426,Drama
24460,Documentary
24460,Music
24471,Comedy
2341,Thriller
2350,Comedy
2357,Drama
2366,Music
2377,Action
2377,Drama
2384,Drama
2384,Short
19420,Horror
19420,Sci-Fi
19422,Animation
19422,Short
19431,Animation
19431,Short
19481,Drama
19490,Crime
19490,Documentary
19490,Drama
19490,Short
19497,Documentary
19597,Drama
19599,Horror
19599,Sci-Fi
19631,Documentary
19681,Drama
19740,Comedy
19740,Horror
19774,Short
19781,Short
19849,Documentary
