movie_id,person_id
283718,427
105281,427
26418,427
300230,429
300234,429
300229,429
63208,429
112371,438
297470,438
168229,438
89243,438
400245,447
81785,452
393828,452
388142,452
127106,461
309562,461
321471,461
321472,461
194958,461
321470,461
321473,461
399295,470
32212,470
159202,470
215456,470
153644,477
75607,502
70365,504
308070,504
185815,504
338620,527
243773,527
69973,527
29779,527
172539,538
82656,545
203370,545
144745,545
388343,552
404933,552
124647,554
23373,577
96335,577
365465,579
46096,595
121507,595
366114,595
368330,595
119739,597
405052,597
368136,597
383993,602
359703,602
365595,602
156639,602
273228,602
144049,602
337341,604
1408,611
292268,611
270983,611
292273,611
36948,613
358019,620
248805,620
137061,620
300528,622
174301,627
239266,629
86047,636
267876,636
226442,638
236013,647
51850,652
70908,652
293901,652
104084,652
345607,663
185594,670
45302,670
195298,677
55120,677
297411,686
303097,688
405582,697
175252,702
330367,706
289791,711
166023,713
4960,720
124683,727
254781,727
49660,727
348654,731
246919,736
295641,738
255561,738
115424,745
266759,756
391228,761
383871,761
353988,772
262027,779
21387,781
131399,786
113842,786
131709,786
334743,788
387775,813
389870,813
407839,813
103180,813
282029,822
126910,822
215448,822
198986,831
80179,836
82580,836
345177,836
318127,836
54652,836
64294,836
207981,838
131241,838
116123,856
146667,856
410887,861
273170,863
313983,863
93066,870
108322,872
120227,881
80010,904
373530,920
35554,929
24365,929
325596,929
325752,929
375854,929
98980,929
153935,929
302327,940
304756,947
356266,947
119231,954
13194,954
286307,954
296089,954
204689,954
401930,956
220617,961
356194,963
217665,963
351813,965
301161,970
101901,972
306701,972
23624,972
225046,972
154440,972
45753,981
222299,981
20365,981
99998,988
363303,988
171410,988
214439,988
171414,988
99983,988
156097,997
111370,1006
382219,1006
396944,1006
386572,1006
346542,1006
345445,1006
346515,1006
346512,1006
265137,1006
239219,1006
81802,1013
397908,1022
210626,1040
71160,1081
34572,1081
304911,1104
14277,1113
124257,1129
64429,1129
135861,1131
88445,1131
161760,1147
90810,1147
111467,1163
41842,1163
116711,1165
370542,1165
168687,1165
265495,1170
122585,1195
386007,1195
199012,1195
204493,1195
361053,1195
325549,1195
290549,1195
246917,1195
132694,1195
125095,1195
245021,1199
2610,1206
50223,1206
61190,1213
286579,1224
314618,1231
301586,1231
244416,1231
267485,1238
171189,1238
303980,1240
324023,1240
49109,1247
15415,1247
335039,1247
202104,1247
160732,1247
284777,1249
87804,1263
319277,1279
150647,1290
189683,1297
175114,16
398143,32
188130,32
348839,32
27631,32
235574,32
350027,33
226433,47
328631,63
176931,64
341130,65
361223,80
401850,81
371899,97
270956,97
275637,97
285969,98
178950,98
268580,99
46577,99
390730,114
384218,114
63702,114
327044,115
255768,115
394016,116
382289,116
157894,132
390120,147
389771,148
87225,148
80821,149
336914,149
227509,149
311259,164
6122,197
108580,200
160973,217
